Date,Time,Day_of_week,Timestamp,Batch_ID,BRIX,COLOR_a_b,BOSTWICK_cm,pH,ACIDITY_pct,BLOTTER_TEST,SYNERESIS_pct,SALT_pct,Status,Action_Cost_EUR,Deviations
2025-06-25,00:00,Wednesday,2025-06-25 00:00,B0001,28.21,2.08,4.17,4.28,6.21,2.68,3.4,1.86,Accept,0,
2025-06-25,01:00,Wednesday,2025-06-25 01:00,B0002,28.0,2.01,3.39,4.24,6.05,2.15,4.83,1.97,Accept,0,
2025-06-25,02:00,Wednesday,2025-06-25 02:00,B0003,29.5,2.08,4.07,4.19,6.2,3.57,4.0,1.9,Accept,0,
2025-06-25,03:00,Wednesday,2025-06-25 03:00,B0004,28.6,1.97,4.49,4.15,6.6,1.82,2.87,2.03,Accept,0,
2025-06-25,04:00,Wednesday,2025-06-25 04:00,B0005,28.71,2.08,3.09,4.02,8.12,3.46,3.38,1.78,Critical Waste,6000,"pH, ACIDITY_pct"
2025-06-25,05:00,Wednesday,2025-06-25 05:00,B0006,28.71,2.02,3.59,4.26,7.02,3.56,3.21,1.95,Accept,0,
2025-06-25,06:00,Wednesday,2025-06-25 06:00,B0007,27.85,2.11,4.25,4.23,8.44,3.1,6.0,2.07,Correction,450,"BRIX, ACIDITY_pct"
2025-06-25,07:00,Wednesday,2025-06-25 07:00,B0008,28.73,2.0,4.22,4.31,6.48,3.94,1.97,2.12,Accept,0,
2025-06-25,08:00,Wednesday,2025-06-25 08:00,B0009,28.1,2.13,4.54,4.22,6.23,2.1,3.25,2.11,Accept,0,
2025-06-25,09:00,Wednesday,2025-06-25 09:00,B0010,28.32,2.01,4.55,4.24,6.24,3.31,3.87,2.15,Accept,0,
2025-06-25,10:00,Wednesday,2025-06-25 10:00,B0011,28.49,2.1,3.85,4.2,7.14,2.82,1.94,2.05,Accept,0,
2025-06-25,11:00,Wednesday,2025-06-25 11:00,B0012,28.48,1.99,3.9,4.24,7.44,3.1,3.98,1.99,Accept,0,
2025-06-25,12:00,Wednesday,2025-06-25 12:00,B0013,28.59,1.7,3.0,4.12,7.58,3.57,4.21,2.0,Correction,450,COLOR_a_b
2025-06-25,13:00,Wednesday,2025-06-25 13:00,B0014,28.53,2.07,3.98,4.15,7.07,3.45,4.35,1.86,Accept,0,
2025-06-25,14:00,Wednesday,2025-06-25 14:00,B0015,29.09,2.16,3.47,4.22,6.25,3.55,4.99,2.13,Accept,0,
2025-06-25,15:00,Wednesday,2025-06-25 15:00,B0016,28.06,2.06,3.36,4.25,6.04,3.93,3.25,1.95,Accept,0,
2025-06-25,16:00,Wednesday,2025-06-25 16:00,B0017,28.42,2.03,5.96,4.39,8.59,6.54,4.61,1.95,Correction,450,"ACIDITY_pct, BLOTTER_TEST"
2025-06-25,17:00,Wednesday,2025-06-25 17:00,B0018,28.73,2.07,2.77,4.06,7.92,4.3,5.3,2.09,Correction,450,pH
2025-06-25,18:00,Wednesday,2025-06-25 18:00,B0019,28.68,2.12,4.1,4.15,7.02,3.8,4.31,1.86,Accept,0,
2025-06-25,19:00,Wednesday,2025-06-25 19:00,B0020,29.01,1.98,4.58,4.24,6.91,4.14,3.63,1.89,Accept,0,
2025-06-25,20:00,Wednesday,2025-06-25 20:00,B0021,28.91,2.03,4.73,4.25,7.87,3.06,2.82,1.99,Accept,0,
2025-06-25,21:00,Wednesday,2025-06-25 21:00,B0022,28.23,2.09,3.87,4.26,6.74,2.96,3.21,1.77,Accept,0,
2025-06-25,22:00,Wednesday,2025-06-25 22:00,B0023,28.14,1.87,5.49,4.32,8.0,5.76,5.28,1.8,Correction,450,BLOTTER_TEST
2025-06-25,23:00,Wednesday,2025-06-25 23:00,B0024,26.59,1.53,8.04,4.66,10.58,8.08,5.43,1.92,Critical Waste,6000,"BRIX, COLOR_a_b, BOSTWICK_cm, pH, ACIDITY_pct, BLOTTER_TEST"
2025-06-26,00:00,Thursday,2025-06-26 00:00,B0025,28.71,2.07,4.01,4.27,7.22,3.0,4.73,2.15,Accept,0,
2025-06-26,01:00,Thursday,2025-06-26 01:00,B0026,28.49,2.11,3.54,4.21,6.26,3.05,5.42,1.72,Accept,0,
2025-06-26,02:00,Thursday,2025-06-26 02:00,B0027,28.45,2.06,3.46,4.2,7.28,3.08,4.18,1.81,Accept,0,
2025-06-26,03:00,Thursday,2025-06-26 03:00,B0028,28.62,2.0,5.29,4.26,5.49,3.11,3.34,2.13,Accept,0,
2025-06-26,04:00,Thursday,2025-06-26 04:00,B0029,28.33,2.18,3.8,4.2,6.66,2.03,4.46,2.19,Accept,0,
2025-06-26,05:00,Thursday,2025-06-26 05:00,B0030,29.34,2.13,3.09,4.19,7.13,2.58,4.11,2.12,Accept,0,
2025-06-26,06:00,Thursday,2025-06-26 06:00,B0031,28.59,1.98,3.22,4.21,5.5,2.22,4.88,2.2,Accept,0,
2025-06-26,07:00,Thursday,2025-06-26 07:00,B0032,29.1,1.94,4.7,4.22,6.01,3.28,3.94,1.91,Accept,0,
2025-06-26,08:00,Thursday,2025-06-26 08:00,B0033,28.83,2.06,2.86,4.3,6.19,4.27,4.28,2.01,Accept,0,
2025-06-26,09:00,Thursday,2025-06-26 09:00,B0034,28.7,2.0,3.88,4.19,6.21,3.51,4.05,1.9,Accept,0,
2025-06-26,10:00,Thursday,2025-06-26 10:00,B0035,28.73,2.1,3.62,4.27,6.78,2.57,2.55,1.82,Accept,0,
2025-06-26,11:00,Thursday,2025-06-26 11:00,B0036,28.79,2.03,3.87,4.29,6.91,3.49,4.71,2.0,Accept,0,
2025-06-26,12:00,Thursday,2025-06-26 12:00,B0037,28.52,2.12,3.84,4.18,7.46,3.64,2.55,1.93,Accept,0,
2025-06-26,13:00,Thursday,2025-06-26 13:00,B0038,29.01,2.11,4.37,4.26,6.49,2.46,3.85,1.9,Accept,0,
2025-06-26,14:00,Thursday,2025-06-26 14:00,B0039,28.49,2.11,4.37,4.3,6.28,3.12,4.19,2.13,Accept,0,
2025-06-26,15:00,Thursday,2025-06-26 15:00,B0040,28.09,1.94,3.57,4.21,6.66,3.89,4.4,1.98,Accept,0,
2025-06-26,16:00,Thursday,2025-06-26 16:00,B0041,28.49,2.05,3.59,4.22,7.14,3.46,4.14,2.01,Accept,0,
2025-06-26,17:00,Thursday,2025-06-26 17:00,B0042,28.84,2.02,4.13,4.22,6.55,2.54,3.82,2.07,Accept,0,
2025-06-26,18:00,Thursday,2025-06-26 18:00,B0043,28.45,2.2,4.72,4.33,6.44,3.59,2.78,2.12,Accept,0,
2025-06-26,19:00,Thursday,2025-06-26 19:00,B0044,27.86,2.01,3.54,4.23,6.67,4.13,4.47,1.91,Correction,450,BRIX
2025-06-26,20:00,Thursday,2025-06-26 20:00,B0045,28.86,2.17,4.42,4.21,6.46,2.83,4.01,1.84,Accept,0,
2025-06-26,21:00,Thursday,2025-06-26 21:00,B0046,28.56,2.15,3.04,4.18,6.5,3.03,3.48,2.09,Accept,0,
2025-06-26,22:00,Thursday,2025-06-26 22:00,B0047,28.12,2.09,4.64,4.31,6.09,2.82,3.97,2.31,Accept,0,
2025-06-26,23:00,Thursday,2025-06-26 23:00,B0048,29.01,2.06,5.24,4.33,6.38,3.58,4.25,2.21,Accept,0,
2025-06-27,00:00,Friday,2025-06-27 00:00,B0049,28.45,2.02,2.96,4.31,6.94,2.92,3.94,1.67,Accept,0,
2025-06-27,01:00,Friday,2025-06-27 01:00,B0050,29.17,1.94,2.98,4.22,6.69,2.98,2.35,1.99,Accept,0,
2025-06-27,02:00,Friday,2025-06-27 02:00,B0051,28.56,2.04,3.34,4.25,6.87,2.83,5.24,1.95,Accept,0,
2025-06-27,03:00,Friday,2025-06-27 03:00,B0052,28.41,1.99,3.94,4.16,6.22,2.28,5.18,2.01,Accept,0,
2025-06-27,04:00,Friday,2025-06-27 04:00,B0053,28.78,2.15,4.51,4.18,6.13,3.35,3.42,1.82,Accept,0,
2025-06-27,05:00,Friday,2025-06-27 05:00,B0054,28.07,2.16,4.99,4.21,6.79,3.19,5.96,2.17,Accept,0,
2025-06-27,06:00,Friday,2025-06-27 06:00,B0055,29.13,1.85,3.51,4.17,6.41,2.97,3.06,1.9,Accept,0,
2025-06-27,07:00,Friday,2025-06-27 07:00,B0056,29.19,2.12,4.0,4.31,6.54,2.48,4.87,2.08,Accept,0,
2025-06-27,08:00,Friday,2025-06-27 08:00,B0057,28.46,2.0,4.84,4.14,5.54,3.56,3.82,2.02,Accept,0,
